Date/Time,WindSpeed,Theoretical_Power_Curve,ActivePower,Wind Direction
01 01 2018 15:20,8.764103889,1993.170712,1885.860962,231.0016022
01 01 2018 15:30,9.669431686,2568.827129,2327.511963,227.6000977
01 01 2018 15:40,10.14109039,2876.753616,2499.162109,227.7315979
01 01 2018 15:50,10.77241993,3186.029883,2820.512939,225.2763977
01 01 2018 16:00,10.64752007,3133.259224,2812.279053,224.680603
01 01 2018 16:10,9.982661247,2781.274041,2530.447021,225.5195007
01 01 2018 16:20,9.874385834,2711.492458,2399.121094,227.2738037
01 01 2018 16:30,9.785479546,2651.341009,2335.587891,229.2554932
01 01 2018 16:40,9.614232063,2527.945451,2341.133057,230.7368927
01 01 2018 16:50,9.618504524,2531.14794,2391.8479,229.490799
01 01 2018 17:00,9.098683357,2207.79282,2118.389893,223.960907
01 01 2018 17:10,8.677425385,1938.478601,1866.845947,219.7937012
01 01 2018 17:20,8.774898529,2000.011716,1865.619019,219.0449066
01 01 2018 17:30,8.689981461,1946.373955,1862.447998,215.3352051
01 01 2018 17:40,8.631073952,1909.416256,1884.119019,216.2799988
01 01 2018 17:50,8.614569664,1899.100734,1855.776978,214.5290985
01 01 2018 18:00,9.21884346,2285.917032,1958.133057,212.1799011
01 01 2018 18:10,10.04951954,2822.50949,2228.24292,210.3085938
01 01 2018 18:20,10.31871033,2974.866796,2529.291016,210.5881042
01 01 2018 18:30,10.76675987,3183.72246,2788.25708,207.4813995
01 01 2018 18:40,10.55825043,3093.110672,2692.929932,208.5518951
01 01 2018 18:50,10.25072002,2938.394607,2535.353027,208.0106964
01 01 2018 19:00,10.46477032,3048.823833,2584.665039,205.7528992
01 01 2018 19:10,11.39078045,3393.645541,2960.183105,200.6542969
01 01 2018 19:20,11.56554031,3437.597135,3062.978027,198.1242981
01 01 2018 19:30,11.2802496,3362.668742,3024.39209,198.5381927
01 01 2018 19:40,11.33677959,3378.826271,3187.9729,200.4904022
01 01 2018 19:50,11.80463982,3488.248491,3387.228027,199.2469025
01 01 2018 20:00,11.3635397,3386.244486,3209.018066,199.8054962
01 01 2018 20:10,11.63259029,3452.881108,3272.665039,198.2677002
01 01 2018 20:20,11.44476032,3407.867876,3209.698975,195.6320038
01 01 2018 20:30,11.27190018,3360.225775,3134.518066,196.6611023
01 01 2018 20:40,11.05900955,3292.880925,2977.824951,196.5158997
01 01 2018 20:50,12.10377979,3537.173706,3431.772949,198.2570038
01 01 2018 21:00,12.92813969,3597.469467,3604.209961,201.5825958
01 01 2018 21:10,13.31941986,3600,3601.327881,201.9421997
01 01 2018 21:20,13.12152004,3600,3604.426025,203.5077972
01 01 2018 21:30,13.23544979,3600,3604.391113,202.6929932
01 01 2018 21:40,13.23589993,3600,3604.337891,202.9362946
01 01 2018 21:50,13.02956009,3600,3554.687988,201.2539063
01 01 2018 22:00,12.96393967,3597.794635,3479.407959,201.3408966
01 01 2018 22:10,12.90295029,3597.13106,3472.333008,200.9795074
01 01 2018 22:20,12.76634026,3593.704942,3491.510986,200.9960022
01 01 2018 22:30,12.89834976,3597.059449,3536.989014,200.5142059
01 01 2018 22:40,12.74211025,3592.814313,3528.658936,202.8952942
01 01 2018 22:50,12.31826019,3562.990095,3581.540039,202.841095
01 01 2018 23:00,12.41880989,3572.556143,3570.079102,202.4118042
01 01 2018 23:10,12.54298973,3582.204643,3597.604004,201.6253052
01 01 2018 23:20,12.67599964,3589.945634,3441.025879,199.3220978
01 01 2018 23:30,13.00304985,3600,3373.969971,197.1307068
01 01 2018 23:40,13.29767036,3600,3369.812988,196.4936066
01 01 2018 23:50,12.84405994,3595.984792,3375.903076,195.3150024
02 01 2018 00:00,12.70538998,3591.300461,3377.649902,196.0422058
02 01 2018 00:10,12.1833601,3547.627655,3374.423096,197.7438965
02 01 2018 00:20,12.20514011,3550.307222,3401.081055,196.8088074
02 01 2018 00:30,12.60188007,3585.959181,3469.412109,193.8157043
02 01 2018 00:40,12.84455013,3595.996394,3511.809082,194.3466034
02 01 2018 00:50,12.49705982,3578.911555,3536.759033,196.009201
02 01 2018 01:00,12.09607029,3536.105139,3467.808105,197.9526978
02 01 2018 01:10,12.19612026,3549.206917,3460.677002,201.330307
02 01 2018 01:20,12.55035019,3582.702554,3589.443115,201.1882019
02 01 2018 01:30,12.6156702,3586.762967,3527.718994,202.6235962
02 01 2018 01:40,13.10278034,3600,3561.26709,201.7666016
02 01 2018 01:50,13.68774986,3600,3604.068115,199.0195007
02 01 2018 02:00,14.10241985,3600,3604.176025,196.2552032
02 01 2018 02:10,14.39330959,3600,3593.200928,195.8798981
02 01 2018 02:20,14.07954979,3600,3493.821045,197.6403046
02 01 2018 02:30,14.05440044,3600,3470.701904,197.2447968
02 01 2018 02:40,13.51247025,3600,3436.610107,195.9954071
02 01 2018 02:50,13.71004963,3600,3401.455078,192.4197998
02 01 2018 03:00,13.7423296,3600,3395.23291,191.0137024
02 01 2018 03:10,13.14186001,3600,3417.503906,192.2046967
02 01 2018 03:20,12.86771011,3596.50506,3465.108887,192.771698
02 01 2018 03:30,12.84727001,3596.060138,3467.417969,192.4705048
02 01 2018 03:40,12.73211002,3592.421666,3522.406982,192.5679016
02 01 2018 03:50,12.51620007,3580.322941,3510.10791,194.9992065
02 01 2018 04:00,12.59866047,3585.767414,3513.844971,196.0422974
02 01 2018 04:10,13.23031998,3600,3564.008057,196.4087982
02 01 2018 04:20,13.0946703,3600,3475.278076,198.5249939
02 01 2018 04:30,12.91687965,3597.329407,3561.990967,198.0101013
02 01 2018 04:40,12.63354969,3587.762741,3521.554932,197.6634979
02 01 2018 04:50,12.82567024,3595.524457,3493.60791,201.1040955
02 01 2018 05:00,12.54162025,3582.111096,3555.304932,200.3634033
02 01 2018 05:10,12.10496998,3537.337786,3377.12793,196.9826965
02 01 2018 05:20,12.36250019,3567.394707,3479.626953,199.798996
02 01 2018 05:30,12.60391045,3586.079315,3539.112061,201.2702942
02 01 2018 05:40,12.21222019,3551.161616,3430.436035,198.9846039
02 01 2018 05:50,11.98762035,3520.011831,3301.917969,202.5711975
02 01 2018 06:00,11.67932987,3463.031603,3235.543945,200.7035065
02 01 2018 06:10,12.46971989,3576.798254,3519.022949,197.8733978
02 01 2018 06:20,12.49489975,3578.748756,3469.537109,201.1011047
02 01 2018 06:30,11.78983021,3485.417643,3296.186035,200.3565979
02 01 2018 06:40,10.90355015,3237.314957,3045.51001,199.4629059
02 01 2018 06:50,12.18807983,3548.214895,3444.741943,202.7460022
02 01 2018 07:00,11.97813034,3518.508247,3417.746094,199.4022064
02 01 2018 07:10,10.67446995,3144.977295,2807.613037,197.2297058
02 01 2018 07:20,9.69664669,2588.59196,2493.393066,200.3191986
02 01 2018 07:30,11.41759014,3400.782508,3215.196045,200.488205
02 01 2018 07:40,12.68927002,3590.573175,3589.590088,199.5281067
02 01 2018 07:50,13.05860043,3600,3599.149902,200.6078033
02 01 2018 08:00,11.52081966,3426.922472,3375.177002,195.8547058
02 01 2018 08:10,11.51231003,3424.84719,3346.980957,197.7467041
02 01 2018 08:20,12.41629982,3572.336603,3567.967041,199.1638031
02 01 2018 08:30,12.16014957,3544.686608,3519.264893,198.3968964
02 01 2018 08:40,11.67107964,3461.269666,3485.191895,194.6569977
02 01 2018 08:50,11.14585972,3321.545696,3145.562988,195.8325043
02 01 2018 09:00,10.77289963,3186.225079,2978.310059,193.1703949
02 01 2018 09:10,10.92975998,3247.07462,3179.008057,195.0997009
02 01 2018 09:20,12.14006042,3542.069502,3461.581055,198.2947998
02 01 2018 09:30,11.19556046,3337.205225,3082.549072,200.7570038
02 01 2018 09:40,12.94869041,3597.678446,3493.657959,204.0805969
02 01 2018 09:50,14.87942982,3600,3601.045898,197.5942993
02 01 2018 10:00,15.12405968,3600,3597.564941,196.3455963
02 01 2018 10:10,16.29367065,3600,3602.172119,196.8367004
02 01 2018 10:20,16.12397957,3600,3601.99292,192.2306061
02 01 2018 10:30,15.27460003,3600,3600.791016,190.949295
02 01 2018 10:40,13.56672001,3600,3590.75,192.9456024
02 01 2018 10:50,15.36779976,3600,3601.845947,194.7528076
02 01 2018 11:00,15.86174965,3600,3601.870117,195.0402985
02 01 2018 11:10,14.92051029,3600,3591.655029,197.9895935
02 01 2018 11:20,13.60853004,3600,3579.024902,201.4945068
02 01 2018 11:30,14.46385956,3600,3598.131104,200.4884033
02 01 2018 11:40,12.68828964,3590.527705,3525.333008,202.2259979
02 01 2018 11:50,13.55690002,3600,3560.699951,202.153595
02 01 2018 12:00,13.32281017,3600,3537.676025,203.2893982
02 01 2018 12:10,12.60700989,3586.261512,3491.291016,201.0937042
02 01 2018 12:20,12.31476021,3562.628404,3530.766113,197.5440979
02 01 2018 12:30,10.3801899,3006.71767,2915.839111,200.9197998
02 01 2018 12:40,9.11702919,2219.691985,2178.658936,201.0245056
02 01 2018 12:50,9.253190994,2308.322526,2244.412109,198.9759979
02 01 2018 13:00,9.072306633,2190.704763,1278.89502,198.2364044
02 01 2018 13:10,10.34463024,2988.424599,2832.934082,196.6472015
02 01 2018 13:20,11.10330963,3307.71074,3205.9729,200.1464996
02 01 2018 13:30,11.06910992,3296.300642,3149.284912,198.8968048
02 01 2018 13:40,11.32581043,3375.742901,3273.656006,201.1446075
02 01 2018 13:50,11.01513958,3277.761152,3114.099121,204.9272003
02 01 2018 14:00,10.90725994,3238.706158,3111.060059,204.813797
02 01 2018 14:10,11.76941013,3481.44923,3361.011963,209.778595
02 01 2018 14:20,11.87483025,3501.130346,3421.419922,209.6006012
02 01 2018 14:30,12.16926003,3545.851555,3520.148926,208.3181
02 01 2018 14:40,12.82061958,3595.389466,3589.427002,211.1817932
02 01 2018 14:50,12.57161999,3584.095307,3495.115967,209.4647064
02 01 2018 15:00,11.39929962,3395.929165,3298.761963,205.625
02 01 2018 15:10,10.54543018,3087.174334,2894.440918,200.6107025
02 01 2018 15:20,12.30932999,3562.063389,3486.628906,202.0561981
02 01 2018 15:30,12.1683197,3545.731948,3455.24707,203.7207031
02 01 2018 15:40,12.28707981,3559.699203,3556.785889,204.6085968
02 01 2018 15:50,12.01319027,3523.986209,3375.582031,201.7415009
02 01 2018 16:00,12.21352959,3551.318734,3493.979004,201.7156067
02 01 2018 16:10,12.93774033,3597.57459,3549.147949,199.9685059
02 01 2018 16:20,13.66942024,3600,3483.315918,203.870697
02 01 2018 16:30,13.69785976,3600,3589.858887,204.8023071
02 01 2018 16:40,12.75835991,3593.421089,3584.235107,202.6508026
02 01 2018 16:50,12.76517963,3593.664238,3599.008057,201.2570953
02 01 2018 17:00,13.07721996,3600,3602.637939,203.4407043
02 01 2018 17:10,12.59340954,3585.451317,3550.563965,205.1535034
02 01 2018 17:20,12.51366997,3580.139581,3552.782959,205.008194
02 01 2018 17:30,12.53439999,3581.613183,3585.010986,204.1203003
02 01 2018 17:40,11.96442986,3516.3102,3421.176025,201.9989014
02 01 2018 17:50,11.94577026,3513.264349,3406.040039,194.3786926
02 01 2018 18:00,12.20707989,3550.542117,3515.610107,189.5238037
02 01 2018 18:10,12.2751503,3558.399068,3515.965088,190.5794983
02 01 2018 18:20,12.72264004,3592.036307,3475.418945,187.6125031
02 01 2018 18:30,12.26537037,3557.31619,3471.156982,189.4371948
02 01 2018 18:40,11.70368958,3468.159913,3281.754883,192.2619019
02 01 2018 18:50,10.96352959,3259.412905,2955.11499,190.4571991
02 01 2018 19:00,11.29796982,3367.805139,3061.735107,192.8582001
02 01 2018 19:10,10.66594982,3141.292611,2679.110107,194.0843964
02 01 2018 19:20,10.8332901,3210.350601,2721.081055,195.2017975
02 01 2018 19:30,10.57837009,3102.339998,2649.136963,195.3432007
02 01 2018 19:40,10.38854027,3010.962279,2707.74292,201.797699
02 01 2018 19:50,10.08041954,2841.099422,2508.832031,204.2073975
02 01 2018 20:00,9.838738441,2687.688082,2316.647949,199.747406
02 01 2018 20:10,11.43999958,3406.637064,3081.542969,200.2402954
02 01 2018 20:20,11.94402981,3512.977172,3397.638916,201.1663971
02 01 2018 20:30,11.85929012,3498.353994,3391.716064,201.7106018
02 01 2018 20:40,12.81147957,3595.135782,3587.510986,201.3484955
02 01 2018 20:50,12.91353989,3597.284381,3603.112061,201.6768951
02 01 2018 21:00,12.72832012,3592.269026,3591.093018,202.4132996
02 01 2018 21:10,11.66357994,3459.656972,3221.044922,202.6618958
02 01 2018 21:20,11.0952301,3305.038612,2887.733887,204.061203
02 01 2018 21:30,10.16094971,2888.183469,2364.534912,203.3379059
02 01 2018 21:40,9.202415466,2275.211448,1935.847046,197.8013
02 01 2018 21:50,8.539284706,1852.273851,1549.480957,195.5061035
02 01 2018 22:00,8.809141159,2021.754239,1625.755981,187.4846039
02 01 2018 22:10,9.608460426,2523.60898,1994.222046,188.0238953
02 01 2018 22:20,9.844923973,2691.848533,2362,190.6604004
02 01 2018 22:30,9.338670731,2364.198743,2097.771973,196.7335968
02 01 2018 22:40,8.424916267,1781.899877,1564.590942,197.0158997
02 01 2018 22:50,7.656233788,1339.713949,1107.474976,188.6903992
02 01 2018 23:00,8.144581795,1613.847713,1303.116943,181.6596069
02 01 2018 23:10,8.54713726,1857.140175,1561.182007,173.5366974
02 01 2018 23:20,8.381804466,1755.627598,1544.999023,171.3834076
02 01 2018 23:30,7.850449085,1445.553534,1456.738037,179.8197937
02 01 2018 23:40,8.656551361,1925.374082,1795.644043,188.2382965
02 01 2018 23:50,10.92311954,3244.617174,2773.291016,179.039093
03 01 2018 00:00,10.4051199,3019.332696,2782.568115,176.9255981
03 01 2018 00:10,9.498130798,2468.761378,2446.424072,174.677002
03 01 2018 00:20,11.93025017,3510.684928,3412.39209,180.6725006
03 01 2018 00:30,11.07629013,3298.717792,3255.337891,183.8755035
03 01 2018 00:40,10.45788002,3045.466801,2796.876953,192.1911011
03 01 2018 00:50,9.791149139,2655.255241,2467.954102,197.104599
03 01 2018 01:00,7.626486778,1323.911052,1278.886963,202.940506
03 01 2018 01:10,7.287635803,1150.913828,1042.537964,207.3871002
03 01 2018 01:20,6.228209019,703.7205269,609.0761719,216.9989014
03 01 2018 01:30,4.47162199,216.0170723,175.4407043,222.5090942
03 01 2018 01:40,4.127829075,147.1041396,112.1109009,215.4514008
03 01 2018 01:50,5.032844067,344.1094784,271.9171143,202.5102997
03 01 2018 02:00,6.267045021,717.8434981,737.4487915,211.2003021
03 01 2018 02:10,7.763337135,1397.52319,1375.579956,193.6107025
03 01 2018 02:20,8.21955204,1658.119112,1520.890015,172.135498
03 01 2018 02:30,7.974888802,1515.649475,1349.112061,168.3569031
03 01 2018 02:40,6.794364929,926.0444806,889.1298218,171.1295013
03 01 2018 02:50,5.536108017,479.4472407,412.115509,162.7037964
03 01 2018 03:00,5.491714954,466.6197137,444.6036072,150.2816925
03 01 2018 03:10,6.076754093,650.187023,655.7307129,149.6408997
03 01 2018 03:20,6.69093895,882.7282325,882.5654297,152.2225037
03 01 2018 03:30,6.848011971,949.0116113,998.3845825,157.1643066
03 01 2018 03:40,7.759384155,1395.364787,1193.395996,152.699707
03 01 2018 03:50,7.417626858,1215.659509,1122.712036,152.076004
03 01 2018 04:00,7.472226143,1243.600054,1214.125977,154.7837982
03 01 2018 04:10,7.080772877,1052.768027,1086.307007,160.2183075
03 01 2018 04:20,7.053721905,1040.356847,1060.603027,165.8153992
03 01 2018 04:30,7.766314983,1399.150382,1451.713989,170.8444977
03 01 2018 04:40,7.833246231,1435.998878,1361.459961,173.0240936
03 01 2018 04:50,7.959300995,1506.776853,1490.569946,173.9763947
03 01 2018 05:00,7.283742905,1149.012424,1153.139038,176.7931976
03 01 2018 05:10,7.001252174,1016.552582,953.9760132,178.0930023
03 01 2018 05:20,6.758135796,910.7282546,799.0856934,174.0330048
03 01 2018 05:30,6.179992199,686.4114027,616.2548218,167.9960022
03 01 2018 05:40,6.301719189,730.5901706,646.9244995,168.8119965
03 01 2018 05:50,7.517776966,1267.134969,1323.682007,184.7017975
03 01 2018 06:00,8.094202995,1584.395551,1568.885986,194.0092926
03 01 2018 06:10,7.854953766,1448.061049,1580.902954,197.8014984
03 01 2018 06:20,7.719468117,1373.675076,1495.180054,191.2086945
03 01 2018 06:30,8.847901344,2046.438946,2063.868896,195.0639038
03 01 2018 06:40,9.631019592,2540.491731,2368.76001,198.074707
03 01 2018 06:50,9.767664909,2638.971731,2516.419922,191.838501
03 01 2018 07:00,9.185004234,2263.873095,2108.770996,190.0070038
03 01 2018 07:10,9.927650452,2746.29034,2568.111084,179.3226929
03 01 2018 07:20,12.03275967,3526.952507,3445.219971,175.9355011
03 01 2018 07:30,10.87308979,3225.769174,2994.106934,180.7583008
03 01 2018 07:40,10.38061047,3006.931915,2594.937012,177.4212036
03 01 2018 07:50,10.34302044,2987.588083,2326.825928,164.6313934
03 01 2018 08:00,9.283791542,2328.307526,1941.463989,157.3659973
03 01 2018 08:10,8.263951302,1684.577838,1581.487061,151.1777039
03 01 2018 08:20,7.161077023,1090.179344,1013.286987,144.4230042
03 01 2018 08:30,5.502151966,469.6191644,375.6176147,145.3318024
03 01 2018 08:40,4.645584106,253.4672425,198.1511993,155.7653046
03 01 2018 08:50,3.847867012,100.642022,87.44045258,162.271698
03 01 2018 09:00,4.553710938,233.4558636,189.1378021,148.0536041
03 01 2018 09:10,5.735952854,539.5070619,434.4317932,136.6712036
03 01 2018 09:20,5.057969093,350.3694191,336.5007935,139.4640045
03 01 2018 09:30,4.922440052,317.1718028,296.6101074,141.7938995
03 01 2018 09:40,3.821350098,96.25248176,92.9240036,148.5747986
03 01 2018 09:50,3.580841064,61.57702143,85.70230103,165.8957062
03 01 2018 10:00,4.716145039,269.2057367,309.5114136,187.6051941
03 01 2018 10:10,5.080855846,356.114453,381.1726074,188.4362946
03 01 2018 10:20,5.343267918,425.0226087,417.2662964,202.2389984
03 01 2018 10:30,5.452712059,455.4989836,446.343811,201.0330963
03 01 2018 10:40,4.29698801,180.2207304,206.6020966,191.4851074
03 01 2018 10:50,4.736260891,273.7530825,251.3757019,183.4333954
03 01 2018 11:00,4.780562878,283.8646662,275.0136108,187.9405975
03 01 2018 11:10,4.894141197,310.4131199,314.2744141,180.8480072
03 01 2018 11:20,4.487487793,219.355975,238.7823029,185.8578033
03 01 2018 11:30,5.314783096,417.2631565,409.0264893,180.8168945
03 01 2018 11:40,5.711400986,531.9193571,506.4703064,186.1788025
03 01 2018 11:50,5.374886036,433.7182755,427.9566956,196.3742065
03 01 2018 12:00,6.895505905,969.6346499,952.2675781,193.9367065
03 01 2018 12:10,7.240921021,1128.237686,1019.905029,187.7236023
03 01 2018 12:20,6.709988117,890.6123118,1015.357971,185.273407
03 01 2018 12:30,6.851963043,950.7168123,979.7229004,183.7971039
03 01 2018 12:40,5.078312874,355.4740901,379.4078979,185.1383972
03 01 2018 12:50,6.521288872,814.34348,841.5977783,189.263504
03 01 2018 13:00,6.171179771,683.2747912,672.6187744,189.2765045
03 01 2018 13:10,5.449243069,454.5165791,452.0786133,190.636795
03 01 2018 13:20,5.851128101,575.9105762,558.9979248,196.9326935
03 01 2018 13:30,5.094088078,359.454764,331.7192993,193.4658051
03 01 2018 13:40,4.598594189,243.1654974,212.1006927,197.9337006
03 01 2018 13:50,3.629702091,67.87244481,79.72102356,199.7156067
03 01 2018 14:00,4.472650051,216.232972,183.0128021,205.3706055
03 01 2018 14:10,4.918616772,316.2552558,279.1960144,204.3323059
03 01 2018 14:20,5.625835896,505.9378767,460.2166138,209.3771057
03 01 2018 14:30,6.316774845,736.1652234,647.7111206,211.6537018
03 01 2018 14:40,6.237164974,706.9630418,685.0780029,212.0509033
03 01 2018 14:50,6.449378014,786.3313199,709.8339844,211.607605
03 01 2018 15:00,5.782717228,554.1258994,493.3555908,212.3511047
03 01 2018 15:10,5.346119881,425.803377,366.0793152,216.8318024
03 01 2018 15:20,4.379333019,196.8860292,183.0379028,220.0410004
03 01 2018 15:30,3.011370897,16.3742125,7.347679138,238.6905975
03 01 2018 15:40,3.743307114,83.98626485,0,245.0682068
03 01 2018 15:50,3.24625206,28.73127208,12.34420013,238.0765076
03 01 2018 16:00,2.185888052,0,-0.393067598,238.4102936
03 01 2018 16:10,2.142015934,0,0,234.7624054
03 01 2018 16:20,2.501405954,0,0,223.3088074
03 01 2018 16:30,2.668577909,0,0,226.0516968
03 01 2018 16:40,3.034003019,17.18059304,0,221.0865021
03 01 2018 16:50,3.197354078,25.43122108,0,232.6795959
03 01 2018 17:00,3.907810926,110.9796039,0,241.9730988
03 01 2018 17:10,3.801294088,93.00718811,65.98790741,221.5258942
03 01 2018 17:20,4.43715477,208.8146524,157.8495026,225.1553955
03 01 2018 17:30,3.677906036,74.4575207,50.42205048,220.4692993
03 01 2018 17:40,4.115369797,144.7212631,88.1881485,222.5281067
03 01 2018 17:50,4.987364769,332.9015993,242.3132935,220.7682037
03 01 2018 18:00,4.871101856,304.9535561,262.8019104,222.9488983
03 01 2018 18:10,5.921298981,598.7577677,584.6671143,212.7292938
03 01 2018 18:20,5.030583858,343.5487361,298.586792,216.0464935
03 01 2018 18:30,4.997858047,335.4735677,279.7724915,206.8820038
03 01 2018 18:40,6.434377193,780.5598676,823.4796143,208.842804
03 01 2018 18:50,6.996636868,1014.475559,883.265625,212.2098999
03 01 2018 19:00,7.625429153,1323.35127,1155.17395,205.5773926
03 01 2018 19:10,8.103025436,1589.535548,1400.389038,198.4824066
